country_code	gb_xpd_rsdv_gd_zs	iq_cpa_envr_xq	ms_mil_xpnd_gd_zs	ny_gdp_mktp_cd	ny_gdp_pcap_pp_cd	ny_gnp_mktp_pp_cd	sh_sta_airp_p5	sh_sta_mmrt_ne	sh_sta_traf_p5	sh_xpd_chex_gd_zs	si_pov_dday	si_pov_mdim	si_pov_mdim_xq	sp_dyn_le00_in	sp_dyn_tfrt_in	sp_pop_0014_to_zs	sp_pop_65up_to_zs	year
CIV		3	1.47596904942975	35363533865.7272	3127.4791681667	69008798623.8581				5.15732431				55.508	4.867	42.8012595018546	2.81311325255156	2014
CMR		3	1.14908897182636	34989493826.2179	3185.3551485686	71651218352.3963				3.95040631	26			57.083	4.847	43.3752940456538	2.75512775588166	2014
COD		2.5	0.950246294980751	35909040265.9328	849.760795523223	57377953169.2351		740		3.97941589				58.828	6.287	46.3886828020495	3.01887633443516	2014
COG		3	5.0073706866691	17783526317.8894	5888.28297350804	28304384999.4875				2.50741982				62.582	4.634	42.1466142112605	2.55969209048135	2014
COL	0.30563		3.10825884811044	381112119657.445	13307.4245015783	606448118177.276		47		7.18553209	5.2	21.9		76.322	1.883	25.0387904912347	7.43065829756691	2014
COM		3		1149587651.69395	2716.82752451541	2065846271.75344				4.55703831	19.1			63.214	4.491	40.345013761045	2.89192641462226	2014
CPV		3	0.540807447335247	1859898513.26858	5748.17387420973	2830720284.50257		9		5.32722235				71.886	2.425	30.2905236835555	4.59470045593907	2014
CRI	0.57209		0	50577769837.7462	15622.930477768	71737908299.0027		29		7.88175106	1.5	25.7069427635349	0.0590192481989	79.398	1.823	22.5132606358265	8.38591849348834	2014
CSS		3.4		74433668499.321	15465.2256562705	106405860955.728				5.37516948676647				73.150583187515	2.06426962881974	24.861982762816	8.12371932508998	2014
CUB	0.41596		3.53600476096013	80656000000				35		12.1412344				78.521	1.686	16.8767595444341	13.7064222001	2014
CUW				3158406033.51955	25379.297699527	3915994347.36562								77.9756097560976	2	20.0117407935766	14.7593137316787	2014
CYM				4563017851.62436	63067.4195200767	2213929694.30591												2014
CYP	0.50835		1.54918289491613	23156850006.6428	30042.8271061311	24958899400.2898		16		6.9609561	0.1	27.4		80.178	1.364	17.0396212742507	12.5336179851339	2014
CZE	1.97285		0.973390214495888	209358834156.329	32502.4753540118	318616318237.674		4		7.65308523	0			78.8243902439024	1.53	14.8935408835412	17.4908989692108	2014
DEU	2.86691		1.13843883542903	3883920155292.26	47011.5510935131	3883389666513.64		4		11.01583958		20.6		81.090243902439	1.47	13.2520993334125	21.0641625260475	2014
DJI		2.5		2214681573.56933	4289.08674752945	4036230825.66616				2.96522927				63.171	2.981	30.948542052643	4.23313805017275	2014
DMA		3.5		520207407.407407	10910.297445078	750737430.525807				5.22792864								2014
DNK	2.91409		1.14927328112499	352993631617.708	47901.4473627066	280163778604.424		3		10.17190456	0.2	17.9		80.7	1.69	17.0325850306028	18.5704555421458	2014
DOM			0.662335562008556	67179914026.2773	13475.0164700416	130353464759.375		93		5.75102663	2.1	29.2	0.115	73.003	2.423	29.1435087789369	6.35551765275647	2014
DZA			5.54848333584853	213860450595.829	13003.267118909	494727795289.635				6.54721403				75.878	3.022	28.2642818158154	5.73312007504324	2014
EAP	1.94838849859152	3	1.77313781352528	12761629787232.4	11464.096130401	23096708127560.7				4.58892175579566				74.2204720452971	1.87366642126433	20.9823684835641	7.97998996961034	2014
EAR		3.23333333333333	2.50677386276671	10620471211777	8175.38897679863	24916762524647				5.11240406984691				69.460924556839	2.605271221978	30.2693615226913	5.30078443027384	2014
EAS	2.50262313888941	3	1.65908374907213	22002182897791.7	14695.717757753	33381033643241.6				6.50176136675608	2.6			75.1251702917927	1.8277160860106	20.2394927697869	9.19880278811939	2014
ECA	0.876259070446756	3.2	3.09987485050904	3841761017808.3	19681.5796843067	7428929646647.53				5.03470342825661				72.2718078392738	1.97664188464829	20.5299063224026	10.9315948061465	2014
ECS	1.83935526130073	3.2	1.67278304842672	23738526473026	30476.5695066756	27279006804027.5				9.20957219144339	1.8			77.2859376807739	1.75749116910617	17.6999083020856	15.365883401674	2014
ECU	0.44266		2.73923080937619	101726331000	11713.1715024724	184012416071.378		61		8.62127495	2.6		0.18135661	75.923	2.522	29.4224553405751	6.4407930370415	2014
EGY	0.63649		1.68969483568075	305595408895.265	10895.9448542272	961846565220.621		19		5.02518845				71.117	3.441	33.1587780660177	5.05340490319366	2014
EMU	2.13450131674966		1.33025166625782	13490553822082.7	39945.017169075	13593611076019.5				10.2659974850312				81.9429827672192	1.55137877880459	15.262591589977	19.5204900746206	2014
ERI		2								4.05145597				64.201	4.273			2014
ESP	1.23535		1.25445910412941	1369398844599.58	33525.7406299089	1552593080187.63		2		9.09010506	0.8	29.2		83.2292682926829	1.32	14.9056055821202	18.3192777362399	2014
EST	1.42931		1.91278592887302	26773473625.1921	29135.7051198125	37217445766.6686		0		6.08077621	0.7	26		77.0341463414634	1.54	15.9052387909232	18.5443489478278	2014
ETH		3.5	0.768411100510026	55612228233.5179	1513.70340603175	148077638928.901				4.03365517				64.547	4.675	42.7359377227609	3.42915459940497	2014
EUU	2.10670164353153		1.33145351091792	15632613367402.2	37068.7278897651	16460386214816.6				10.0002657545273				80.8704475779471	1.53528332001578	15.248482400237	18.9001946801756	2014
FCS		2.84375	1.80682746788944	1923217210047.71	4939.64136527772	3455851505624.12				4.51009771443876	34.4			60.1842051768087	4.75813113172067	41.6973226412764	3.2477032281464	2014
FIN	3.16931		1.46198545801415	274497230802.958	41757.4021894413	230341376307.58		5		9.78115082	0.1	17.3		81.1804878048781	1.71	16.4257917962959	19.6588940110898	2014
FJI			1.66797835129514	4856963251.97477	11346.8672628645	9375291022.39166				3.3686049				67.03	2.795	29.55947985638	5.00927344010581	2014
FRA	2.27592		1.86296143947269	2852165760630.27	40144.0268283679	2719730300347.34		5		11.58073521	0	18.5		82.719512195122	2	18.4252530043906	18.4358568734709	2014
FRO				2850743875.2784										81.5926829268293	2.6			2014
FSM		3		319271200	3213.84731136233	372768708.157918				11.76905727				67.152	3.243	33.2585670941682	3.35889656199393	2014
GAB			1.14481839629997	18203968001.8908	15370.9761530686	27448373201.6419				2.53282237				64.318	4.083	36.4471812294299	3.71706125915702	2014
GBR	1.65915		1.94880699671148	3063803240208.01	41289.0758256899	2612946778839.82		8		9.95758438	0.2			81.3048780487805	1.81	17.5319027864905	17.7280293900099	2014
GEO	0.1849		2.5175823171808	17627003454.7205	11575.547210705001	42492961933.5167		31		8.43881893	4.9			72.707	2.034	18.6879524279541	14.2669796702162	2014
GHA		4	0.678998541282117	53660342159.7735	5454.14389253995	143670731901.313				4.10044813				62.416	4.095	38.4222497162755	2.98285663784934	2014
GIB																		2014
GIN		3.5	2.97318238560544	8778473614.54728	1804.54214982762	19471089653.375				4.78097677			0.354	59.016	5.013	45.2881638585732	2.90146643587085	2014
GMB		3.5	1.15958848486499	1229460601.92174	2027.03134851532	4006121655.97443				3.6996479				60.667	5.437	44.6468502135825	2.67079438074902	2014
GNB		2.5	2.03802325715883	1054915645.19654	1378.23265419054	2415238570.21739		898		9.51437759		57.8	0.27	56.556	4.783	42.7998797001011	2.66196023840178	2014
GNQ			0.766177853756616	21765454404.421	33696.1264123214	25707960045.8039				2.19292879				57.001	4.863	37.7278515019019	2.5875073622644	2014
GRC	0.8333		2.33358454907882	237029578730.029	26642.1050002364	292032642542.155		4		7.84993553	1.5	36		81.3853658536585	1.3	14.6756385299346	20.477278979608	2014
GRD		4		911497407.407407	13041.8161057843	1291198872.90021		0		4.77353573				72.503	2.148	23.208940148023	9.62792235220657	2014
GRL				2842048997.77283										71.5384146341463	2.037			2014
GTM	0.02905		0.418365533340073	57852399705.1292	7758.49313511813	115639774098.923		68		5.80132627	8.8	61.62	0.299	72.935	3.088	36.8680524486354	4.43527308142641	2014
GUM				5538000000										78.895	2.406	25.9042579619417	8.52896606548418	2014
GUY		2.5	1.27633200357824	4127664335.82693	10951.6769709817	8414383428.13008		101		5.31300068				69.049	2.558	29.8122822185543	5.50132306321884	2014
HIC	2.45640529393971		2.4309245223768	50986874848795	44322.8007044986	54035713302752.7				11.9374771887875	0.7			80.5125452443597	1.66726407302743	16.8515296752893	16.5961260173905	2014
HKG	0.74014			291459356985.337	54781.6471649487	404211342098.222								83.9804878048781	1.235	11.0484016780033	14.6666068647884	2014
HND		3.5	1.54864476700508	19756494434.7031	4452.58301911362	36611449125.7829		71		7.91455746	16.4			74.278	2.635	34.4755660403799	4.23412686759073	2014
HPC		3.15789473684211	1.32571581406536	683129004022.834	2261.41783640841	1544719362753.21				5.29096582816332				61.3343128170965	5.03154581517457	43.9077336852476	2.95977283706993	2014
HRV	0.78252		1.84365488047612	57639588805.5871	22060.6674349515	91544932516.6019		3		6.69970798	1	29.3		77.4780487804878	1.46	14.6913226892557	18.9064676588857	2014
HTI		2.5	6.19837348551585e-4	14790765759.5274	2897.2147945697	30660467811.5978				7.79763603				62.069	3.159	34.7625639526898	4.58874383366248	2014
HUN	1.35373		0.863635252084004	140765018880.633	25642.5566762677	242075480384.519		7		7.07047558	0.6	31.8		75.7634146341463	1.44	14.4735064009748	17.1076648617016	2014
IBD	1.30058529944189	3.5	1.98086718210459	27475647429348	11427.0083639684	51868897841981				5.3338392241402				72.4279632479225	2.10755618738591	24.3375831110403	7.41029545024659	2014
IBT	1.2928279790677	3.15131578947368	1.94825287602169	29578253145897.4	9447.53536917437	56807436503823.4				5.25348226140694				70.0791243989198	2.59639018163885	28.143208686441	6.44353052348281	2014
IDA		3.12676056338028	1.44812554148562	2112917151582.24	3388.36672814569	5003765257098.94				4.14724666846142	30.8			62.8365261561631	4.20859324683589	39.8920417923871	3.45890695708428	2014
IDB		3.14285714285714	1.40745059824539	1036701798768.23	4623.89716815136	2271335796964.55				3.52616859019679				60.8937132685901	4.34172565825541	39.6324581005747	3.39782369590278	2014
IDN			0.777855178232831	890814755233.225	10278.139920209	2534329758163.13				3.11712098	6.2			70.481	2.413	27.7678502149642	5.2785821188884	2014
IDX		3.12280701754386	1.49554563246674	1066194850212.59	2755.72902111056	2725174064134.32				4.82088931519388				63.8175928308547	4.14216787301833	40.0233642722474	3.48980876482229	2014
IMN				7708834951.45631														2014
IND	0.70159		2.49676988106994	2039127446298.55	5233.86854281857	6700838434194.09		184		3.61956549				68.286	2.333	28.9254244902534	5.478595608617	2014
INX																		2014
IRL	1.52307		0.461455849512993	258471884599.611	51067.9766083865	200789098470.04		1		9.67580032	0.4	27.7		81.3487804878049	1.89	21.7098307183039	12.4074206954027	2014
IRN			2.2810787288833	432687036177.818	15235.7048371843	1183766862250.56		6		6.9135108	0.4			75.502	1.993	23.7503325662418	5.64236178120995	2014
IRQ	0.03733		2.9506139914123	234648370506.003	14267.0356150368	488228998526.082				2.79654908				69.7	4.076	39.8294650599729	3.10174799446855	2014
ISL	1.94811		0	17758050015.5425	45714.7926490087	14240759323.4076		0		8.27935791	0	11.2		82.8609756097561	1.93	20.4218579767129	13.3164330450343	2014
ISR	4.16793		5.74502928178081	309558454690.917	34212.9444858096	279822039561.089		5		7.15390539	0.5			82.1536585365854	3.08	27.7748897311545	11.026757232074	2014
ITA	1.34301		1.28738252755904	2159133919743.77	36194.873918843	2200447377386.96		2		8.86791897	1.2	28.3		83.090243902439	1.37	13.8401681718905	21.6353388748348	2014
JAM			0.87288904100233	13897804560.3487	8544.23018569639	24036884622.2238		74		5.16615725				74.042	2.047	24.9954176128528	8.45040883240775	2014
JOR			4.32321001045109	36847643587.2383	9179.78348735681	80957978659.5537				7.31149483				73.969	3.196	36.4659347618319	3.71085752522641	2014
JPN	3.40022		0.966999334469794	4850413536037.84	39179.155610609	5166025961476.02		3		10.83204937				83.5878048780488	1.42	13.0814785354786	25.3497097679254	2014
KAZ	0.16722		1.04169205733297	221415572819.5	24726.4728671586	383650191926.991		9		2.97468424	0			71.62	2.74	26.0440459433444	6.75604236700637	2014
KEN		3.5	1.33290268007615	61448046801.6041	3021.43312339997	139107161405.764		377		5.45934105				64.135	3.879	41.932273955566	2.05384768818795	2014
KGZ	0.12536	2.5	1.7135690234793	7468096566.71158	4281.82407398558	23953408501.6723		50		7.35766459	0.9			70.4024390243902	3.2	31.1306705139094	4.3096179471684	2014
KHM		3	1.66303946625633	16702610842.4025	3185.33689790783	46099725658.5717		184		6.70157766				68.273	2.633	31.8116602550014	4.01576404810029	2014
KIR		3		179703443.302686	1916.83576386063	394526288.51527				9.93768883				66.995	3.73	35.0485871781042	3.54325310126062	2014
KNA				916566666.666667	23950.1374239284	1126403235.97201				4.9079895								2014
KOR	4.28874		2.52993594270347	1484318219633.63	35324.4976704773	1801276221059.28		11		6.47438097				81.7219512195122	1.205	14.1835840000259	12.4027674173524	2014
KWT	0.42705		3.58566528958251	162631412508.784	70082.4248636737	283545175393.602				3.1975801				75.019	2.09	21.5990447964354	2.06020632678767	2014
LAC	0.772432941546843	3.33333333333333	1.23881630768147	5891055018081.22	14918.8951660413	8511674217138.36				7.4302669189357				74.5983514326598	2.11504817986859	26.2580010191161	7.35603134277997	2014
LAO		3.5		13268458231.9284	5873.75548919659	37279715377.7992				2.29845548				66.144	2.847	34.0442178899345	3.79095255910006	2014
LBN			4.67817522836761	48134486624.6103	15026.3361375226	93092365035.8045				7.84629583				78.732	2.091	27.0898591353135	6.25790203678492	2014
LBR		3	0.463083101658997	3144000000	1381.94025371831	5386476328.91385				9.06281471	41.7			61.723	4.621	42.3920967192154	3.19763294281508	2014
LBY			15.4795763013832	41142722414.3351	14303.0174902414	92283833247.2583								71.981	2.392	28.831599061747	4.21974911494542	2014
LCA		3.5		1755130814.81481	13761.0997257801	2304064040.82224		90		4.84179592				75.44	1.485	20.352671961233	9.07647956207655	2014
LCN	0.743174929398312	3.33333333333333	1.26159527830499	6425251637774.58	15409.0249729351	9208919660776.54				7.44024184345688	4.1			74.7990653339069	2.10329478976017	26.0229337518708	7.53743823826811	2014
LDC		3.07777777777778	2.13939856469838	974055229893.728	2571.74962858851	2351922662101.19				4.32191315270187				63.5090606514635	4.2406963090415	40.5601451405923	3.4624489832356	2014
LIC		3.01923076923077	1.81542692480134	527424451180.531	2129.12824631805	1233631913063.96				5.83129470446578	44.5			61.9129460235598	4.92192059783087	43.0917981346541	3.23477498015858	2014
LIE				6657170923.37918										82.0731707317073	1.59			2014
LKA	0.09989	2.5	2.41264701190051	79356449840.5771	11256.8560497537	228565788492.023		36		3.60648036				76.147	2.216	24.928615618502	8.99442485322782	2014
LMC		3.19230769230769	2.22385330375288	5226217431859.36	5447.80920750515	14623506343062.4				4.1216418738154	16.9			67.3588283079263	2.88359895338823	31.7931559984956	5.07306245427773	2014
LMY	1.32286999401875	3.15131578947368	1.96409886979276	28483329039856	9218.85062650763	55024580578884.1				5.21694769880441	12.7			69.9952542477254	2.60724606880192	28.265534595095	6.35318153970289	2014
LSO		3.5	1.76809681567459	2499803984.26198	2871.68456994693	6791590360.36547		649		8.65392971				49.891	3.235	33.8001267467439	4.79322908128185	2014
LTE	1.54268922370095	3.25	2.17921105254311	19698463710450.9	14706.8689229824	32356444203616.1				5.41757460476301				75.1994821138214	1.7338395810001	19.2958820011383	9.1171566422007	2014
LTU	1.03048		0.879909678639828	48574531941.9167	28184.3449780521	81670940441.2795		3		6.19952059	1.3	27.3		74.5170731707317	1.63	14.545900601616	18.4012637401283	2014
LUX	1.26404		0.422091883903723	66103853236.7572	101297.575745297	37434314552.7056		0		5.43687868	0.1	19		82.2292682926829	1.5	16.6370312128054	13.9610038303674	2014
LVA	0.6893		0.943765186140853	31329367172.7409	23803.7137208758	47517704397.4596		10		5.4568367	0.8	32.7		74.1243902439024	1.65	14.8047787003783	19.2751008178728	2014
MAC	0.08705			55347998647.8196	154095.703884367	77917473234.3904								83.543	1.196	12.4991528410323	8.09850086749078	2014
MAF														79.3219512195122	1.81			2014
MAR			3.67785635244484	110081248587.369	6609.60910787755	224028206132.59				5.30341721		8.2		75.477	2.552	27.8738842133638	6.25950413421339	2014
MCO				7069616048.89066						2.08679175								2014
MDA	0.31105	4	0.345293582014082	9510219299.49557	8827.05410758548	27399539464.997		16		8.63275719	0			71.267	1.265	15.8331588274877	9.96259396618114	2014
MDG	0.0155	3	0.652799351750732	12522959157.2295	1555.82337962072	35835765900.7156				5.08265734				65.133	4.302	42.0245996928854	2.81425668489821	2014
MDV		4		3697351594.22359	15993.1689697821	6289083096.82511				7.90784121				77.36	2.038	21.7679850120111	4.02675769801041	2014
MEA		2.75	5.73333561350273	3569880025466.93	18070.2112900242	7541894040792.47				5.1036538025248	2.7			73.3264170376357	2.90421783225064	29.9158304792732	4.78796811635392	2014
MEX	0.43549		0.514207543329832	1315351183524.54	18056.7911564109	2119873249261.23		38		5.63038635	3.7	46.2		74.908	2.243	28.0063953735316	6.57479338977563	2014
MHL		3		184689500	3441.60696430411	245166380.86811				14.72001648								2014
MIC	1.32644051644785	3.22	1.9659973253025	27956218907118.6	9991.76715898371	53840238066360.8				5.20807954928257				70.8658431654597	2.38262910869471	26.6679875978455	6.6891934433164	2014
MKD	0.51646		1.09296080025624	11362272837.8818	13368.1823782488	27256380190.4002				6.28993368	4.5	43.3		75.299	1.504	16.9842740431471	12.2594121115135	2014
MLI		4	1.51593383195426	14364859445.8846	1915.30367981381	31565052224.5886				4.48156118				57.036	6.231	47.9723121486477	2.56962620172392	2014
MLT	0.71197		0.500651299187359	11626281449.5909	34343.9819034666	14147613162.8059		0		9.34200478	0	23.9		82.0463414634146	1.38	14.2943814113069	18.1891087106605	2014
MMR		2.5		65446199787.8425	4245.8070401422	213072891301.063		358		4.39342737				65.378	2.217	28.3069486433496	5.05272831966076	2014
MNA		2.75	3.34964661192204	1599403833225.15	11378.5141043965	4021418457095.27				5.66433171440706				72.8011524598997	2.96815088853114	31.020947332765	4.97822267996641	2014
MNE	0.3632		1.47227149715928	4587741791.10639	15371.1220069385	9684791521.07342					1.7			76.297	1.719	18.6311228845678	13.5100415705862	2014
MNG	0.2234	3.5	0.85972525833079	12226514722.0861	11056.3098094418	29864062852.7761		47		4.19000292	0.2			68.863	2.894	28.3748760249623	3.83795425202067	2014
MNP				845000000														2014
MOZ		3.5	1.02441412273758	17716084107.5888	1139.05303889379	29600088338.2311				6.5794630099999996	63.7	53	0.31	56.062	5.131	45.5785967620794	2.93481470936584	2014
MRT		3	2.69588976412809	6592537781.81518	4295.04930350073	16238197197.5205				4.25439119	6			63.654	4.794	40.6832945974658	3.12048449005011	2014
MUS			0.156539255208697	12803445933.5894	18488.0467911726	25119627939.9348		52		5.49399614				74.1943902439024	1.43	19.8919954984869	9.41412727511323	2014
MWI		3.5	0.817725899868925	6047813437.31804	1078.980573455	17109325958.1925				9.71204662				61.042	4.666	45.4160556410637	2.6531239164834	2014
MYS	1.26275		1.45511468292057	338061963396.376	24607.707458023	710620293507.506		23		3.72527027		1.1	0.0044	75.268	2.074	25.5970623776665	5.7486082364305	2014
NAC	2.62504840113981		3.44364623089953	19337110892844.6	54134.6673123182	19657335890103.7				15.8320705455324				79.1381544431363	1.83409535993976	19.0801694593667	14.4035099764635	2014
NAM	0.33996		4.20342961430471	12356482988.8683	10400.7696285891	23507845287.3846				8.17065144				61.425	3.577	36.9252884307056	3.82089034904635	2014
NCL														77.2528725957226	2.17	24.1914700510572	8.17512577547537	2014
NER		3.5	1.76908573849567	10862944203.5591	1142.51834907894	22970934374.5282				5.85134125	45.4			60.07	7.245	50.2347717243171	2.56487218751967	2014
NGA		3.5	0.414718774524443	546676374567.721	5507.17039988995	939073115447.917				3.34840417				52.672	5.653	44.1991276729255	2.75004836315973	2014
NIC	0.08935	3.5	0.685091959176865	11880434070.7811	4941.7005064869	29211123154.359		38		7.97716141	3.4			73.429	2.503	31.6255587294967	4.65372812190539	2014
NLD	1.97568		1.15968789088093	890981311077.658	49233.2153954401	828263670286.029		3		10.56703758	0.1	16.5		81.7073170731707	1.71	16.9421228551827	17.4415449959725	2014
NOR	1.71187		1.47203877720871	498410050251.256	65892.6892787813	349842613934.341		3		9.34493351	0.1			82.1	1.75	18.1070598267495	16.0400523893654	2014
NPL		3.5	1.62934106186361	20002968837.9471	2593.43837539233	70944811652.5188				5.76784754		28.62	0.127	69.168	2.176	33.9628836387215	5.4388322178811	2014
NRU				104654365.188653	11004.9066676798	158652606.391947				10.09228325								2014
NZL			1.17834545485807	200921936786.219	37276.9439703148	161323526267.934		13		9.4200058				81.4048780487805	1.92	20.1037892058438	14.2994009668689	2014
OED	2.41379936107537		2.22013066683916	50111815274171.6	39297.4296646544	52373315998331				11.9560845006877				79.9137747178065	1.75178920962519	18.5183045627993	15.579398290312	2014
OMN	0.21253		10.1359223300971	80686854742.6073	38624.5991259682	147287627415.441		12		3.52693391				76.634	2.93	22.1323927434534	2.31554456379772	2014
OSS		3.15		446839099917.419	25422.5795944035	692451522839.925				3.99960252616331				66.8911850747	3.15171498229554	30.5210623709434	5.2662880580891	2014
PAK		3	3.47657944030318	244360888750.807	4238.5945208844	814428003012.422				2.72200847		38.8		66.36	3.708	36.2494074844869	4.30696215667542	2014
PAN	0.14052		0	49921500000	22897.3954948458	81538689297.7009		55		6.92144489	3.5			77.583	2.564	28.1096317804719	7.37587387223894	2014
PER	0.10794		1.59128799389936	200789362451.567	11510.2838491968	330667402340.409				4.99472809	3.7			75.529	2.355	28.3839850498294	7.05983600926795	2014
PHL			1.09040654583344	297483553299.658	6960.90064652702	780292861532.848				4.12741232				70.481	2.894	32.6489813640489	4.49495151589232	2014
PLW				241669800	16444.061178054	311860771.984195				12.17145729								2014
PNG		2	0.487315010570824	23210682536.8359	3761.52437605627	29374464874.3696				3.27119088				63.181	3.758	37.1360295366773	3.25108566668303	2014
POL	0.93978		1.896864039804	542477096211.761	25475.5046935928	932107889462.194		2		6.35254002	0.3	24.7		77.6024390243903	1.32	14.8162054384951	15.1989196213319	2014
