borough	leggi_year	domestic_coal	domestic_electricity	domestic_gas	domestic_oil	domestic_total	industrial_and_commercial_coal	industrial_and_commercial_electricity_w_o_rail	industrial_and_commercial_gas	industrial_and_commercial_oil	industrial_and_commercial_total	industrial_and_commercial_waste_and_renewables	total_total	transport_aviation	transport_railways_diesel	transport_railways_electric	transport_road_transport	transport_shipping	transport_total	gss
Waltham Forest	2012	1.539133855	180.9028017	242.2192798	0.77213675	425.4333522	0.219583704	160.667306	64.41044319	12.65416757	237.9515005	0	857.47481990000006	0.757644913	3.244302588	16.19836692	169.3806358	4.509016982	194.0899672	E09000031
Waltham Forest	2013	1.658131987	179.7730099	245.6877642	0.792254422	427.9111606	0.005762503	154.4180303	62.36154545	7.606630313	224.3919686	0	840.258176	0.569206233	4.499298935	16.96205609	165.9244856	0	187.9550469	E09000031
Waltham Forest	2014	1.91927604	162.7099801	229.7501383	0.801270795	395.1806653	0	170.2830144	56.56105775	8.513941579	241.8959642	6.53795046	834.8675318	0.586037093	2.101146546	14.00443843	181.0992803	0	197.7909024	E09000031
Waltham Forest	2015	2.041946544	137.0038138	210.0044492	0.807114181	349.8573237	0.066827625	120.2715522	50.60023295	9.700658674	187.987292	7.348020587	728.6525959	0.662227848	2.101146546	12.16646006	175.8781457	0	190.8079802	E09000031
Waltham Forest	2016	1.846301783	107.8781843	219.3457992	0.816422	329.8867072	0.037635997	103.3680395	51.53310536	10.0178227	163.1170537	7.906360642	681.5981477	0.586616935	1.954657278	9.745910515	176.2813778	0.025824222	188.5943867	E09000031
Waltham Forest	2017	2.179279798	95.90497534	229.0085939	0.753068524	327.8459176	0.034539472	91.5749429	53.4894558	10.03919977	154.1928769	7.852072994	648.0099031	0.56419389	1.952483558	8.797334059	154.6570971	0	165.9711086	E09000031
Wandsworth	2010	0.751762037	269.304517	342.7931844	1.712269781	614.5617332	0	175.8015114	138.8290405	7.497032711	322.1275845	0	1209.926514	12.33024414	2.358449697	85.21744986	173.3149694	0.016083279	273.2371964	E09000032
Wandsworth	2011	0.696369045	249.5128638	280.9404971	1.44735257	532.5970825	0	147.9064456	112.5427756	6.514275614	266.9634968	0	1072.797776	12.33024414	2.358449697	85.21744986	173.3149694	0.016083279	273.2371964	E09000032
Wandsworth	2012	0.672629191	252.9528576	308.7742378	1.463506058	563.8632306	0	154.8126543	118.2593896	6.389481062	279.461525	0	1116.561952	12.33024414	2.358449697	85.21744986	173.3149694	0.016083279	273.2371964	E09000032
Wandsworth	2013	0.831996238	250.887481	313.2881925	1.519444183	566.5271139	0.001080535	158.6346584	127.9577776	4.625175014	291.2186915	0	1119.257625	13.78859628	2.604578046	74.82464639	170.1217484	0.172250592	261.5118197	E09000032
